movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Renaissance Man,1994-06,Comedy,PG-13,24172899.0,49945474.0
The Lion King,1994-06,Adventure,G,422780140.0,761640898.0
I Love Trouble,1994-06,Romantic Comedy,PG,30806194.0,63651027.0
Angels in the Outfield,1994-07,Comedy,PG,50236831.0,103798152.0
In the Army Now,1994-08,Comedy,PG,28881266.0,59673787.0
Color of Night,1994-08,Thriller/Suspense,R,19750470.0,40804816.0
Camp Nowhere,1994-08,Comedy,PG,10442641.0,21576332.0
It's Pat,1994-08,Comedy,,60822.0,125666.0
A Simple Twist of Fate,1994-09,Drama,PG-13,3404935.0,7035189.0
Quiz Show,1994-09,Drama,PG-13,24787282.0,50840394.0
Terminal Velocity,1994-09,Action,PG-13,16478900.0,34048315.0
Ed Wood,1994-09,Comedy,R,5828466.0,12042634.0
The Puppet Masters,1994-10,Horror,R,8579626.0,17727017.0
Squanto: A Warrior's Tale,1994-10,Drama,PG,3319344.0,6858345.0
The Santa Clause,1994-11,Comedy,PG,144833357.0,298369717.0
A Low Down Dirty Shame,1994-11,Action,R,29317886.0,60321919.0
The Jungle Book (b),1994-12,Adventure,PG,44342956.0,88930321.0
Houseguest,1995-01,Comedy,PG,26325256.0,51016522.0
Bad Company,1995-01,Thriller/Suspense,R,3523909.0,6829092.0
Miami Rhapsody,1995-01,Romantic Comedy,PG-13,5086578.0,9857435.0
The Jerky Boys,1995-02,Comedy,R,7555256.0,14641561.0
Heavy Weights,1995-02,Comedy,PG,17671310.0,34245779.0
Man of the House,1995-03,Comedy,PG,40029009.0,77573459.0
Roommates,1995-03,Comedy,PG,12076989.0,23404369.0
Tall Tale,1995-03,Western,PG,8247627.0,15983331.0
A Pyromaniac's Love Story,1995-03,Romantic Comedy,PG,468240.0,907414.0
Jefferson in Paris,1995-03,Drama,PG-13,2461628.0,4770461.0
Funny Bones,1995-03,Comedy,R,529135.0,1025425.0
A Goofy Movie,1995-04,Comedy,G,35336439.0,68479579.0
While You Were Sleeping,1995-04,Romantic Comedy,PG,81057016.0,157082900.0
Crimson Tide,1995-05,Action,R,91387195.0,177102077.0
Mad Love,1995-05,Drama,PG-13,15446532.0,29934306.0
Pocahontas,1995-06,Adventure,G,141579773.0,274370957.0
Judge Dredd,1995-06,Action,R,34687912.0,67222776.0
Operation Dumbo Drop,1995-07,Adventure,PG,24670346.0,47809421.0
Dangerous Minds,1995-08,Drama,R,84919401.0,164552293.0
A Kid in King Arthur's Court,1995-08,Adventure,PG,13406717.0,25981285.0
The Tie That Binds,1995-09,Thriller/Suspense,R,5762795.0,11167895.0
Unstrung Heroes,1995-09,Drama,PG,7929000.0,15365850.0
The Big Green,1995-09,Comedy,PG,17736619.0,34372339.0
Dead Presidents,1995-10,Drama,R,24120194.0,46741467.0
The Scarlet Letter,1995-10,Drama,R,10359006.0,20075033.0
Feast of July,1995-10,Drama,R,293274.0,568342.0
Powder,1995-10,Drama,PG-13,30833914.0,59727216.0
Toy Story,1995-11,Adventure,G,191796233.0,370409631.0
Father of the Bride Part II,1995-12,Comedy,PG,76578911.0,147658438.0
Nixon,1995-12,Drama,R,13668249.0,26302005.0
Tom and Huck,1995-12,Adventure,PG,23837227.0,45911517.0
Mr. Holland's Opus,1995-12,Drama,PG,82582604.0,157508868.0
White Squall,1996-02,Adventure,PG-13,10229300.0,19509726.0
Muppet Treasure Island,1996-02,Adventure,G,34327391.0,65470567.0
Mr. Wrong,1996-02,Romantic Comedy,PG-13,12805071.0,24422334.0
Before and After,1996-02,Drama,PG-13,8642118.0,16482589.0
Up Close & Personal,1996-03,Drama,PG-13,51045801.0,97356578.0
Homeward Bound II: Lost in San Franc…,1996-03,Adventure,G,32709423.0,62384706.0
Two Much,1996-03,Romantic Comedy,PG-13,1078555.0,2057055.0
Un indien dans la ville,1996-03,Comedy,PG,1029731.0,1963937.0
James and the Giant Peach,1996-04,Adventure,PG,28921264.0,55159783.0
Celtic Pride,1996-04,Comedy,PG-13,9240378.0,17623615.0
Last Dance,1996-05,Drama,R,5857534.0,11171714.0
Boys,1996-05,Drama,PG-13,21930418.0,41826566.0
Spy Hard,1996-05,Comedy,PG-13,26936265.0,51373912.0
Eddie,1996-05,Comedy,PG-13,31369401.0,59828966.0
The Rock,1996-06,Action,R,134069511.0,255702705.0
The Hunchback of Notre Dame,1996-06,Adventure,G,100138851.0,190988799.0
Phenomenon,1996-07,Drama,PG,104636382.0,199559799.0
Kazaam,1996-07,Comedy,PG,18880508.0,36009655.0
Jack,1996-08,Drama,PG-13,58617334.0,111792852.0
First Kid,1996-08,Comedy,PG,26465920.0,50465108.0
The Rich Man's Wife,1996-09,Thriller/Suspense,R,8538318.0,16284619.0
D3: The Mighty Ducks,1996-10,Comedy,PG,22936273.0,43713554.0
The Associate,1996-10,Comedy,PG-13,12772657.0,24333094.0
Ransom,1996-11,Action,R,136492681.0,259807820.0
The War at Home,1996-11,,R,34368.0,65543.0
101 Dalmatians (b),1996-11,Comedy,G,136189294.0,258728898.0
The Preacher's Wife,1996-12,Drama,PG,48102795.0,91076877.0
Evita,1996-12,Musical,PG,50047179.0,92077628.0
Metro,1997-01,Action,R,32017895.0,58804106.0
Prefontaine,1997-01,Drama,PG-13,590817.0,1085093.0
Shadow Conspiracy,1997-01,Thriller/Suspense,R,2154540.0,3957025.0
That Darn Cat,1997-02,Comedy,PG,18301828.0,33613158.0
Jungle 2 Jungle,1997-03,Comedy,PG,59925026.0,110058379.0
The Sixth Man,1997-03,Comedy,PG-13,14765099.0,27117599.0
Grosse Pointe Blank,1997-04,Black Comedy,R,28084357.0,51579764.0
Romy and Michele's High School Reunion,1997-04,Comedy,R,29235353.0,53693680.0
Gone Fishin',1997-05,Comedy,PG,19745922.0,36265379.0
Con Air,1997-06,Action,R,101117573.0,185712664.0
Hercules,1997-06,Adventure,G,99112101.0,182029412.0
George Of The Jungle,1997-07,Comedy,PG,105263257.0,193326632.0
Nothing To Lose,1997-07,Comedy,R,44480039.0,81692095.0
Air Bud,1997-08,Comedy,PG,24646936.0,45266588.0
G.I. Jane,1997-08,Drama,R,48169156.0,88467531.0
A Thousand Acres,1997-09,Drama,R,7928412.0,14561324.0
Washington Square,1997-10,Drama,PG,1775644.0,3257546.0
Rocket Man,1997-10,Comedy,PG,15448043.0,28371890.0
Playing God,1997-10,Thriller/Suspense,R,4166918.0,7652965.0
Flubber,1997-11,Comedy,PG,92993801.0,170406423.0
An American Werewolf in Paris,1997-12,Horror,R,26570463.0,48546161.0
